#blinkered/attestations/2 language=et words=63006 sources=14 built=2026-09-23 digest=16011374f79f4d6d
#tokens ebible:ekk=114996 gut=10447 ia=943424 lz:est_news_2022_300K=362775 lz:est_newscrawl_2017_1M=1685587 tat=24005 web:aripaev.ee=250616 web:delfi.ee=56942 web:eestinaine.ee=5351 web:err.ee=219169 web:looming.ee=318891 web:lounaeestlane.ee=179274 web:ohtuleht.ee=34001 web:pealinn.ee=52 web:postimees.ee=100105 web:sirp.ee=273572 wiki:et=56872163 wikisource:et=463507
KLOOSTREID	lz:est_newscrawl_2017_1M,web:looming.ee,wiki:et	1,1,165	lz:est_newscrawl_2017_1M:http://www.postimees.ee/2048009/falck-on-valmis-vabaduse-valjakult-autod-teisaldama web:looming.ee:https://www.looming.ee/primitiivsuse-uhtne-valjateooria/ wiki:et:136 wiki:et:174
ÕHURÜNNAKU	lz:est_newscrawl_2017_1M,web:delfi.ee,web:err.ee,web:ohtuleht.ee,web:postimees.ee,wiki:et	1,2,1,3,1,165	lz:est_newscrawl_2017_1M:http://www.aripaev.ee/borsiuudised/2017/03/13/1750/bors-investorid-ootavad-fedi-otsust web:delfi.ee:https://www.delfi.ee/artikkel/120612120/zaporizzjas-puhkesid-venemaa-runnaku-jarel-ulatuslikud-tulekahjud-kaubanduskeskuses-ja-korghoonetes web:delfi.ee:https://www.delfi.ee/artikkel/120611685/venemaa-rundas-ukrainat-ligi-100-drooniga-hukkus-vahemalt-kaks-inimest-pihta-sai-muu-hulgas-lasteaed web:err.ee:https://www.err.ee/1610143075/soja-1670-paev-vene-pealinna-tabas-rekordsuur-droonirunnak web:ohtuleht.ee:https://www.ohtuleht.ee/1167469/otseblogi-usa-kutsub-vladimir-putini-miamis-toimuvale-g20-tippkohtumisele web:ohtuleht.ee:https://www.ohtuleht.ee/1167387/blogi-eesti-kehtestab-usmanovi-ja-fridmani-suhtes-riiklikud-sanktsioonid-zelenskoi-kohtus-trumpiga web:postimees.ee:https://www.postimees.ee/8550253/kallas-kutsus-ules-sanktsioonide-jatkamisele-venemaa-vastu wiki:et:840 wiki:et:1333
OSALEKS	lz:est_newscrawl_2017_1M,web:sirp.ee,wiki:et	5,1,30	lz:est_newscrawl_2017_1M:http://www.ohtuleht.ee/teemalehed/kaekott lz:est_newscrawl_2017_1M:http://www.delfi.ee/teemalehed/hansapost web:sirp.ee:https://www.sirp.ee/muuseum-kui-jumala-ruum/ wiki:et:5233 wiki:et:39694
PEAPROOV	lz:est_newscrawl_2017_1M,web:sirp.ee,wiki:et	5,1,30	lz:est_newscrawl_2017_1M:http://www.ohtuleht.ee/407780/kes-kais-enne-armstrongi-kuul lz:est_newscrawl_2017_1M:http://www.kesknadal.ee/g2/uudised?id=15010 web:sirp.ee:https://www.sirp.ee/vana-aja-hea-usu-teatrist/ wiki:et:22989 wiki:et:23281
SÖÖGIKOHAD	lz:est_newscrawl_2017_1M,wiki:et	5,30	lz:est_newscrawl_2017_1M:http://www.postimees.ee/2506345/parnu-opetajad-toetavad-tallinna-kolleegide-noudmisi lz:est_newscrawl_2017_1M:http://www.postimees.ee/1409707/saaremaal-pesitseb-tanavu-palju-kurgi wiki:et:5 wiki:et:605
TEATEPULGA	lz:est_newscrawl_2017_1M,wiki:et	5,30	lz:est_newscrawl_2017_1M:http://www.delfi.ee/news/paevauudised/eesti/mikser-on-kahetsusvaarne-et-varske-minister-on-sattunud-sellisesse-skandaali?id=76409753 lz:est_newscrawl_2017_1M:http://www.kesknadal.ee/uudised_kommentaar?id=8854 wiki:et:5507 wiki:et:5537
TÖÖANDJAKS	lz:est_newscrawl_2017_1M,wiki:et	5,30	lz:est_newscrawl_2017_1M:http://www.postimees.ee/1411783/tallinn-tulitseb-riigikoguga-kohtumise-parast lz:est_newscrawl_2017_1M:https://www.meiemaa.ee/index.php?content=artiklid=69=1=40 wiki:et:561 wiki:et:39826
VARUOSAD	lz:est_newscrawl_2017_1M,web:delfi.ee,wiki:et	5,1,30	lz:est_newscrawl_2017_1M:http://www.postimees.ee/2473379/latgsm-peab-lati-teist-mobiilsidelitsentsi-enda-omaks-latgsm-protestib-valjuhaalselt-oksjonile-pandud-saluudi-kauplus-osutus-pandituks-ras-tarkoni-vara-laheb-muuki-riigikogujad-parivad-aru-kinnisvaraturg-elavneb-veebruaris- lz:est_newscrawl_2017_1M:http://www.vnl.ee/kriminaalne.php?id=5550 web:delfi.ee:https://www.delfi.ee/artikkel/120611924/usa-kiitis-heaks-ohutorjevahendite-muugi-ukrainale-ligi-2-7-miljardi-dollari-eest wiki:et:13 wiki:et:454
VISIIDID	lz:est_newscrawl_2017_1M,web:sirp.ee,wiki:et	5,1,30	lz:est_newscrawl_2017_1M:http://www.kesknadal.ee/g2/uudised?id=4868 lz:est_newscrawl_2017_1M:http://www.eestikirik.ee/ulemkarjased-aegade-tuultes-2-osa/ web:sirp.ee:https://www.sirp.ee/raamat-2/ wiki:et:389 wiki:et:2828
KAUGUSED	web:looming.ee,web:sirp.ee,wiki:et,wikisource:et	2,1,76,1	web:looming.ee:https://www.looming.ee/unenaoline-realist-reamehena-kindralite-rivis/ web:looming.ee:https://www.looming.ee/kirepi-kova-raamat/ web:sirp.ee:https://www.sirp.ee/kunstiilm-2/ wiki:et:957 wiki:et:4682 wikisource:et:12871
LINNASEADUS	wiki:et,wikisource:et	76,1	wiki:et:13 wiki:et:22 wikisource:et:1971
TIPPUDES	wiki:et,wikisource:et	76,1	wiki:et:3650 wiki:et:4454 wikisource:et:6720
TRÜKISÕNA	wiki:et,wikisource:et	76,1	wiki:et:302 wiki:et:303 wikisource:et:138
JÄLITADA	ia,web:looming.ee,web:sirp.ee,wiki:et	2,1,1,78	ia:rafaello-giovagnoli-spartacus/Rafaello%20Giovagnoli%20%20Spartacus_djvu.txt web:looming.ee:https://www.looming.ee/primitiivsuse-uhtne-valjateooria/ web:sirp.ee:https://www.sirp.ee/demokraatia-masin-kui-utoopia/ wiki:et:225 wiki:et:480
PIANISTINA	ia,web:sirp.ee,wiki:et	2,1,78	ia:nlib-digar_130538/nlib-digar_130538_djvu.txt ia:tmk-november-2005-digar/TMK_Aprill2005_digar_djvu.txt web:sirp.ee:https://www.sirp.ee/kontserdipeegel-4/ wiki:et:310 wiki:et:347
VASI	ia,wiki:et	2,78	ia:eestikeelegramma03jguoft/eestikeelegramma03jguoft_djvu.txt ia:varajane_eestikeelne_ilukirjandus/0001%20P%C3%A4rn%2C%20Jakob%20(G.%20Zirk%2C%201913)%20Must%20kuub%20-%20Jutustus%20Eesti%20rahvusliku%20%C3%A4rkamise%20ajast_djvu.txt wiki:et:5460 wiki:et:54520
AKTSIONÄRILE	lz:est_news_2022_300K,lz:est_newscrawl_2017_1M,wiki:et	1,1,8	lz:est_news_2022_300K:https://www.delfi.ee/artikkel/120057718/politsei-otsib-pohja-tallinnas-kadunud-26-aastast-karinat-tema-elu-voib-olla-ohus lz:est_newscrawl_2017_1M:https://www.vorumaateataja.ee/arhiiv/60-uudised/14446-raiste-osula-varese-tee-ehituse-probleemseim-koht-on-sild-ule-puhajoe wiki:et:15304 wiki:et:15339
ANDESTATUD	lz:est_news_2022_300K,lz:est_newscrawl_2017_1M,wiki:et	1,1,8	lz:est_news_2022_300K:https://online.le.ee/2022/11/24/vormsi-lasteaed-pohikool-tahistas-sunnipaevi-2/ lz:est_newscrawl_2017_1M:http://www.aripaev.ee/uudised/2017/04/10/ilona-nurmela-voimupoosid-on-minu-standardvarustuses wiki:et:102999 wiki:et:116691
AUTOOMANIKELE	lz:est_news_2022_300K,lz:est_newscrawl_2017_1M,wiki:et	1,1,8	lz:est_news_2022_300K:https://sonumid.ee/2022/09/01/rs-podcast-kuidas-olla-valmis-1-septembriks/ lz:est_newscrawl_2017_1M:http://www.aripaev.ee/uudised/2016/05/20/leedo-sonades-pole-pohjust-kahelda wiki:et:213277 wiki:et:386178
BENSIINIJAAMAS	lz:est_news_2022_300K,lz:est_newscrawl_2017_1M,web:aripaev.ee,wiki:et	1,1,1,8	lz:est_news_2022_300K:https://www.delfi.ee/artikkel/95701315/omniva-ekstreemsete-teeolude-tottu-jaavad-mitmetes-maakondades-postikanded-ara lz:est_newscrawl_2017_1M:http://www.delfi.ee/news/paevauudised/valismaa/brasiilia-peruu-piirialalt-leiti-senitundmatu-indiaanihoim?id=48324881 web:aripaev.ee:https://www.aripaev.ee/uudised/2026/09/17/skandaalse-kruptoplatvormi-ohvrid-jaid-ilma-nii-13-eurost-kui-12-miljonist wiki:et:61308 wiki:et:102881
DEMINEERIMIST	lz:est_news_2022_300K,lz:est_newscrawl_2017_1M,wiki:et	1,1,8	lz:est_news_2022_300K:https://www.delfi.ee/artikkel/120070608/marko-mihkelson-osalise-mobilisatsiooni-kehtestamine-naitab-et-venemaa-kardab-tosiselt-ukraina-voitu lz:est_newscrawl_2017_1M:http://www.postimees.ee/arhiiv/20060604 wiki:et:218003 wiki:et:255296
DEMOKRAATIAD	lz:est_news_2022_300K,lz:est_newscrawl_2017_1M,web:sirp.ee,wiki:et	1,1,1,8	lz:est_news_2022_300K:https://www.aripaev.ee/saated/2022/02/22/investor-sai-24aastaselt-kiirelt-miljonariks-ja-kukkus-sama-hoogsalt-miinusesse lz:est_newscrawl_2017_1M:http://www.postimees.ee/1888315/hoolekandeasutused-saavad-voltsitud-roivad-endale web:sirp.ee:https://www.sirp.ee/revolutsiooni-seemned/ wiki:et:34581 wiki:et:109044
DOOMINOEFEKTI	lz:est_news_2022_300K,lz:est_newscrawl_2017_1M,wiki:et	1,1,8	lz:est_news_2022_300K:https://sport.err.ee/1608470657/nadal-joudis-probleemideta-jargmisesse-ringi lz:est_newscrawl_2017_1M:http://www.kuulutaja.ee/komisjonid-pooldasid-kultuurikeskuse-rajamist-pauluse-kiriku-hoonesse/ wiki:et:19308 wiki:et:31973
EBAKINDLAS	lz:est_news_2022_300K,lz:est_newscrawl_2017_1M,web:err.ee,wiki:et	1,1,1,8	lz:est_news_2022_300K:https://www.err.ee/1608502085/iisrael-ja-bahrein-suurendasid-iraani-vastast-koostood lz:est_newscrawl_2017_1M:http://www.aripaev.ee/uudised/2013/06/28/skype-i-asutajad-ostavad-ammende web:err.ee:https://www.err.ee/1610144758/eesti-pank-prognoosib-jargmisteks-aastateks-2-4-protsendilist-majanduskasvu wiki:et:21191 wiki:et:23748
ELEKTRIFIRMA	lz:est_news_2022_300K,lz:est_newscrawl_2017_1M,wiki:et	1,1,8	lz:est_news_2022_300K:https://epl.delfi.ee/artikkel/120025406/indias-ponzi-skeemi-turundanud-eestlane-reklaamib-nuud-oma-vorkturundusfirmat lz:est_newscrawl_2017_1M:http://www.vooremaa.ee/tooharjutuste-projektiga-alustati-kasepaa-vallast/ wiki:et:5 wiki:et:124577
ELUAEGSEST	lz:est_news_2022_300K,lz:est_newscrawl_2017_1M,wiki:et	1,1,8	lz:est_news_2022_300K:https://www.delfi.ee/artikkel/96253109/kaja-kallas-sojakahjude-venemaalt-sissenoudmise-ettepaneku-kaalumiseks-vajavad-el-kolleegid-aega lz:est_newscrawl_2017_1M:http://www.postimees.ee/arhiiv/20130116 wiki:et:2828 wiki:et:25613
ERAETTEVÕTJAD	lz:est_news_2022_300K,lz:est_newscrawl_2017_1M,web:err.ee,web:sirp.ee,wiki:et	1,1,2,1,8	lz:est_news_2022_300K:https://sport.err.ee/1608778540/nhl-aleksander-ovetskin-joudis-legendaarse-gordie-howe-i-rekordini lz:est_newscrawl_2017_1M:http://www.eestikirik.ee/valmistage-issandale-teed-5/ web:err.ee:https://www.err.ee/1610132992/eraettevotjad-ei-saa-aru-miks-riik-busse-ostab web:sirp.ee:https://www.sirp.ee/kas-riik-on-l-mmatanud-kultuuris-eraalgatuse-ja-hakanud-ise-meelelahutust-tootma/ wiki:et:10604 wiki:et:11771
FILOSOFEERIDA	lz:est_news_2022_300K,lz:est_newscrawl_2017_1M,wiki:et	1,1,8	lz:est_news_2022_300K:https://sport.delfi.ee/artikkel/96437491/taispikkuses-tiidrek-nurme-ei-suutnud-62-aasta-vanust-eesti-rekordit-uletada lz:est_newscrawl_2017_1M:https://www.meiemaa.ee/index.php?content=kommentaarid=75680=1 wiki:et:414 wiki:et:15118
FOOLIUMIGA	lz:est_news_2022_300K,lz:est_newscrawl_2017_1M,wiki:et	1,1,8	lz:est_news_2022_300K:https://www.aripaev.ee/uudised/2022/02/24/venemaa-rundab-ukraina-suuremaid-linnu-raketid-tabasid-ka-kiievi-piirkonda lz:est_newscrawl_2017_1M:http://www.vnl.ee/artikkel.php?id=9661 wiki:et:104408 wiki:et:298065
HAJUKS	lz:est_news_2022_300K,lz:est_newscrawl_2017_1M,wiki:et	1,1,8	lz:est_news_2022_300K:https://sport.err.ee/1608690739/oliver-jurgens-vahetas-itaalias-interi-sargi-torino-varvide-vastu lz:est_newscrawl_2017_1M:http://www.postimees.ee/2506237/jackson-pole-lennart-merit-veel-kontserdile-kutsunud wiki:et:44926 wiki:et:153513
HEAOLURIIKI	lz:est_news_2022_300K,lz:est_newscrawl_2017_1M,wiki:et	1,1,8	lz:est_news_2022_300K:https://www.err.ee/1608534955/venemaa-teatas-volakirja-intresside-tasumisest lz:est_newscrawl_2017_1M:http://www.postimees.ee/323081/vane-juhtidel-tuleb-liiklemisharjumusi-muuta wiki:et:8883 wiki:et:22181
HÕLVAMINE	lz:est_news_2022_300K,lz:est_newscrawl_2017_1M,web:sirp.ee,wiki:et	1,1,1,8	lz:est_news_2022_300K:https://sport.delfi.ee/artikkel/120030768/kadrina-karude-korvpallimeeskond-sai-uue-peatreeneri lz:est_newscrawl_2017_1M:http://www.aripaev.ee/uudised/2016/04/26/luxleaksi-vilepuhujad-kohtu-all web:sirp.ee:https://www.sirp.ee/bill-clinton-venemaad-upitamas/ wiki:et:18994 wiki:et:67604
IMPROVISEERIMA	lz:est_news_2022_300K,lz:est_newscrawl_2017_1M,web:sirp.ee,wiki:et	1,1,1,8	lz:est_news_2022_300K:https://www.err.ee/1608753802/otse-24-oktoobril-kell-13-15-erikomisjon-jatkab-lng-terminali-ja-gaasivaru-arutelu lz:est_newscrawl_2017_1M:http://www.postimees.ee/1451443/partsi-hinnangul-on-aasta-poliitik-andres-tarand web:sirp.ee:https://www.sirp.ee/improvisatsioon-vaim-annab-kui-annab/ wiki:et:57735 wiki:et:122159
JÄÄRAJAL	lz:est_news_2022_300K,lz:est_newscrawl_2017_1M,wiki:et	1,1,8	lz:est_news_2022_300K:https://sport.err.ee/1608499628/wada-valijeva-positiivse-proovi-viibimises-on-suudi-venelased-ise lz:est_newscrawl_2017_1M:http://www.postimees.ee/teema/heltermaa wiki:et:154737 wiki:et:496580
JÄÄTISTE	lz:est_news_2022_300K,lz:est_newscrawl_2017_1M,wiki:et	1,1,8	lz:est_news_2022_300K:https://sport.err.ee/1608823363/maltsev-piirdus-engelbergis-kvalifikatsiooniga lz:est_newscrawl_2017_1M:http://www.postimees.ee/arhiiv/20031221 wiki:et:279541 wiki:et:312390
JÄRGULINE	lz:est_news_2022_300K,lz:est_newscrawl_2017_1M,wiki:et	1,1,8	lz:est_news_2022_300K:https://sport.err.ee/1608498200/eesti-meistriteks-suusaorienteerumise-sprindis-tulid-kudre-ja-jaama lz:est_newscrawl_2017_1M:http://www.kesknadal.ee/g2/uudised?id=11808 wiki:et:125254 wiki:et:264304
KAARDIMAKSE	lz:est_news_2022_300K,lz:est_newscrawl_2017_1M,wiki:et	1,1,8	lz:est_news_2022_300K:https://sport.err.ee/1608462785/tanel-kangert-murdis-hispaanias-rangluu lz:est_newscrawl_2017_1M:http://www.kesknadal.ee/g2/uudised?id=2084 wiki:et:42686 wiki:et:355910
KAHEAASTASEST	lz:est_news_2022_300K,lz:est_newscrawl_2017_1M,wiki:et	1,1,8	lz:est_news_2022_300K:https://www.err.ee/1608582133/saksa-politsei-otsis-labi-deutsche-banki-peakorteri lz:est_newscrawl_2017_1M:http://www.postimees.ee/1379451/veskimagi-soidab-kallase-vana-autoga wiki:et:4126 wiki:et:32159
KAHEMEETRINE	lz:est_news_2022_300K,lz:est_newscrawl_2017_1M,wiki:et	1,1,8	lz:est_news_2022_300K:https://menu.err.ee/1608527194/bridgertoni-teisest-hooajast-ilmus-ametlik-treiler lz:est_newscrawl_2017_1M:http://www.ohtuleht.ee/796256/kommentaarid wiki:et:4201 wiki:et:20614
KENTUCKYS	lz:est_news_2022_300K,lz:est_newscrawl_2017_1M,web:ohtuleht.ee,wiki:et	1,1,1,8	lz:est_news_2022_300K:https://www.err.ee/1608742018/armeenia-ja-aserbaidzaan-noustusid-euroopa-liidu-tsiviilmissiooniga-piiril lz:est_newscrawl_2017_1M:http://www.kesknadal.ee/g2/uudised?id=21255 web:ohtuleht.ee:https://www.ohtuleht.ee/sport/1167515/eesti-kettagolfar-jai-kohtuniku-usaldamise-tottu-ilma-suurest-rahasummast wiki:et:24875 wiki:et:144412
KIIRABIAUTOS	lz:est_news_2022_300K,lz:est_newscrawl_2017_1M,web:lounaeestlane.ee,wiki:et	1,1,2,8	lz:est_news_2022_300K:https://www.err.ee/1608745369/postiettevotete-uhinemiskeeld-voib-kojukande-hinda-tosta-plaanitust-enam lz:est_newscrawl_2017_1M:http://www.postimees.ee/1454367/tuhala-noiakaev-keeb-kolmandat-paeva web:lounaeestlane.ee:https://lounaeestlane.ee/kohutav-5-kuune-beebi-sai-surma-parast-seda-kui-inimene-huppas-17-korruselt-alla-lisatud-video-norganarvilistele-mittesoovitav/ web:lounaeestlane.ee:https://lounaeestlane.ee/video-kiievis-lubati-muugile-alkohol-ja-tulemus-on-kaes/ wiki:et:108451 wiki:et:159692
KINDRALIGA	lz:est_news_2022_300K,lz:est_newscrawl_2017_1M,web:lounaeestlane.ee,wiki:et	1,1,2,8	lz:est_news_2022_300K:https://www.err.ee/1608746848/prantsusmaa-saadab-taiendavad-vaed-eestisse-ja-lennukid-leetu lz:est_newscrawl_2017_1M:http://www.kuulutaja.ee/rakvere-bussiliiklus-jatkub-uuel-aastal-senises-mahus/ web:lounaeestlane.ee:https://lounaeestlane.ee/video-kadorov-saabus-ukrainasse-kohtus-seal-surnuks-kuulutatud-vene-kindraliga/ wiki:et:2913 wiki:et:4867
